subject,condition,n,A_yes1yes2,B_yes1no2,C_no1yes2,D_no1no2,p_yes1,p_yes2,Q_reported_smoothed,Q_unsmoothed,T2_plus_T3,resolution,n_alt_combinations,note
22,IntactPair,5,5,0,0,0,1.0,1.0,0.833333,,n=5 A=5 B=0 C=0 D=0,B: sum(n)=50 satisfied; rl solved separately,1,matches TRIAL2+TRIAL3 exactly
22,ItemPair,15,10,2,2,1,0.8,0.8,0.431818,0.42857142857142855,n=15 A=10 B=2 C=2 D=1,B: sum(n)=50 satisfied; rl solved separately,1,matches TRIAL2+TRIAL3 exactly
22,PairItem,11,9,2,0,0,1.0,0.8181818181818182,0.583333,,unavailable,B: sum(n)=50 satisfied; rl solved separately,1,TRIAL2/TRIAL3 counterpart not reconstructable; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
22,RepeatedLure,4,0,0,0,4,0.0,0.0,0.8,,n=3 A=0 B=0 C=0 D=3,B: sum(n)=50 satisfied; rl solved separately,1,differs from TRIAL2+TRIAL3: n 3 vs 4; rl_n=4 != (12-si_n)+(6-int_n)=5
23,SameItem,10,7,2,0,1,0.9,0.7,0.8,1.0,n=11 A=9 B=1 C=0 D=1,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 11 vs 10
23,DifferentItem,10,4,2,2,2,0.6,0.6,0.285714,0.3333333333333333,n=9 A=3 B=2 C=2 D=2,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 9 vs 10
23,IntactPair,6,3,0,1,2,0.5,0.6666666666666666,0.842105,1.0,n=6 A=3 B=0 C=1 D=2,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
23,ItemPair,15,7,1,4,3,0.5333333333333333,0.7333333333333333,0.590909,0.68,n=15 A=7 B=1 C=4 D=3,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
23,PairItem,10,2,1,3,4,0.3,0.5,0.363636,0.45454545454545453,n=10 A=2 B=1 C=3 D=4,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
23,RepeatedLure,2,0,0,1,1,0.0,0.5,0.0,,n=2 A=0 B=0 C=0 D=2,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3 in cell counts (n agrees)
24,SameItem,11,10,0,1,0,0.9090909090909091,1.0,0.75,,n=12 A=10 B=1 C=1 D=0,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 12 vs 11
24,DifferentItem,11,7,2,2,0,0.8181818181818182,0.8181818181818182,-0.25,-1.0,n=10 A=7 B=2 C=1 D=0,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 10 vs 11
24,IntactPair,6,6,0,0,0,1.0,1.0,0.857143,,n=6 A=6 B=0 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
24,ItemPair,13,11,1,1,0,0.9230769230769231,0.9230769230769231,0.4375,-1.0,n=13 A=11 B=1 C=1 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
24,PairItem,10,10,0,0,0,1.0,1.0,0.909091,,n=10 A=10 B=0 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
24,RepeatedLure,1,0,0,0,1,0.0,0.0,0.5,,n=1 A=0 B=0 C=0 D=1,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
25,SameItem,10,7,2,0,1,0.9,0.7,0.8,1.0,n=11 A=7 B=1 C=1 D=2,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 11 vs 10
25,DifferentItem,12,3,4,2,3,0.5833333333333334,0.4166666666666667,0.042553,0.058823529411764705,n=12 A=3 B=4 C=2 D=3,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
25,IntactPair,4,2,0,1,1,0.5,0.75,0.666667,1.0,n=3 A=1 B=0 C=1 D=1,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 3 vs 4
25,ItemPair,15,8,0,5,2,0.5333333333333333,0.8666666666666667,0.770833,1.0,n=15 A=8 B=0 C=5 D=2,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
25,PairItem,10,8,0,2,0,0.8,1.0,0.545455,,n=10 A=8 B=0 C=2 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
25,RepeatedLure,5,0,0,0,5,0.0,0.0,0.833333,,n=3 A=0 B=0 C=0 D=3,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 3 vs 5; rl_n=5 != (12-si_n)+(6-int_n)=4
26,SameItem,9,5,1,2,1,0.6666666666666666,0.7777777777777778,0.375,0.42857142857142855,n=9 A=6 B=1 C=2 D=0,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3 in cell counts (n agrees)
26,DifferentItem,10,6,3,0,1,0.9,0.6,0.695652,1.0,n=11 A=7 B=3 C=0 D=1,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 11 vs 10
26,IntactPair,6,4,0,0,2,0.6666666666666666,0.6666666666666666,0.956522,1.0,n=5 A=4 B=0 C=0 D=1,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 5 vs 6
26,ItemPair,16,9,2,1,4,0.6875,0.625,0.83871,0.8947368421052632,n=16 A=9 B=2 C=1 D=4,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
26,PairItem,9,7,2,0,0,1.0,0.7777777777777778,0.5,,n=9 A=7 B=2 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
26,RepeatedLure,3,0,0,2,1,0.0,0.6666666666666666,-0.25,,n=2 A=0 B=0 C=2 D=0,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 2 vs 3
27,SameItem,9,7,0,2,0,0.7777777777777778,1.0,0.5,,n=9 A=5 B=1 C=2 D=1,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3 in cell counts (n agrees)
27,DifferentItem,11,6,3,0,2,0.8181818181818182,0.5454545454545454,0.805556,1.0,n=12 A=7 B=3 C=0 D=2,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 12 vs 11
27,IntactPair,7,7,0,0,0,1.0,1.0,0.875,,n=6 A=6 B=0 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,n=7 exceeds pooled design slot 6; differs from TRIAL2+TRIAL3: n 6 vs 7
27,ItemPair,14,11,0,3,0,0.7857142857142857,1.0,0.533333,,n=14 A=11 B=0 C=3 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
27,PairItem,9,7,0,1,1,0.7777777777777778,0.8888888888888888,0.875,1.0,n=9 A=7 B=0 C=1 D=1,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
27,RepeatedLure,2,1,0,1,0,0.5,1.0,0.0,,n=4 A=1 B=0 C=3 D=0,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 4 vs 2
28,SameItem,9,6,1,1,1,0.7777777777777778,0.7777777777777778,0.625,0.7142857142857143,n=9 A=6 B=1 C=1 D=1,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
28,DifferentItem,11,6,3,2,0,0.8181818181818182,0.7272727272727273,-0.458333,-1.0,n=12 A=7 B=3 C=2 D=0,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 12 vs 11
28,IntactPair,7,7,0,0,0,1.0,1.0,0.875,,n=6 A=6 B=0 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,n=7 exceeds pooled design slot 6; differs from TRIAL2+TRIAL3: n 6 vs 7
28,ItemPair,15,10,0,5,0,0.6666666666666666,1.0,0.3125,,n=15 A=10 B=0 C=5 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
28,PairItem,8,5,3,0,0,1.0,0.625,0.222222,,n=8 A=5 B=3 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
28,RepeatedLure,2,0,0,0,2,0.0,0.0,0.666667,,n=1 A=0 B=0 C=0 D=1,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 1 vs 2
29,SameItem,10,7,1,1,1,0.8,0.8,0.666667,0.75,n=11 A=9 B=0 C=0 D=2,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 11 vs 10
29,DifferentItem,10,3,6,1,0,0.9,0.4,-0.695652,-1.0,n=10 A=3 B=6 C=1 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
29,IntactPair,6,4,0,1,1,0.6666666666666666,0.8333333333333334,0.8,1.0,n=5 A=3 B=0 C=1 D=1,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 5 vs 6
29,ItemPair,15,11,0,2,2,0.7333333333333333,0.8666666666666667,0.916667,1.0,n=15 A=11 B=0 C=2 D=2,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
29,PairItem,9,3,2,2,2,0.5555555555555556,0.5555555555555556,0.166667,0.2,n=9 A=3 B=2 C=2 D=2,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
29,RepeatedLure,2,0,0,2,0,0.0,1.0,-0.666667,,n=2 A=0 B=0 C=2 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
30,SameItem,9,6,1,0,2,0.7777777777777778,0.6666666666666666,0.911765,1.0,n=9 A=5 B=2 C=1 D=1,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3 in cell counts (n agrees)
30,DifferentItem,11,2,6,1,2,0.7272727272727273,0.2727272727272727,-0.21875,-0.2,n=12 A=3 B=6 C=1 D=2,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 12 vs 11
30,IntactPair,6,5,0,1,0,0.8333333333333334,1.0,0.571429,,n=5 A=4 B=0 C=1 D=0,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 5 vs 6
30,ItemPair,15,7,6,2,0,0.8666666666666667,0.6,-0.625,-1.0,n=15 A=7 B=6 C=2 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
30,PairItem,9,6,2,1,0,0.8888888888888888,0.7777777777777778,-0.071429,-1.0,n=9 A=6 B=2 C=1 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
30,RepeatedLure,3,0,0,1,2,0.0,0.3333333333333333,0.25,,n=4 A=0 B=1 C=1 D=2,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 4 vs 3
31,SameItem,8,5,2,0,1,0.875,0.625,0.736842,1.0,n=9 A=6 B=1 C=1 D=1,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 9 vs 8
31,DifferentItem,10,6,2,1,1,0.8,0.7,0.444444,0.5,n=10 A=6 B=2 C=1 D=1,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
31,IntactPair,6,6,0,0,0,1.0,1.0,0.857143,,n=5 A=5 B=0 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 5 vs 6
31,ItemPair,16,13,1,1,1,0.875,0.875,0.8,0.8571428571428571,n=16 A=13 B=1 C=1 D=1,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
31,PairItem,10,10,0,0,0,1.0,1.0,0.909091,,n=10 A=10 B=0 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
31,RepeatedLure,4,0,0,1,3,0.0,0.25,0.4,,n=4 A=0 B=0 C=0 D=4,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3 in cell counts (n agrees)
32,SameItem,8,7,0,1,0,0.875,1.0,0.666667,,n=9 A=9 B=0 C=0 D=0,B: sum(n)=50 satisfied; rl solved separately,1,differs from TRIAL2+TRIAL3: n 9 vs 8
32,DifferentItem,10,6,1,3,0,0.7,0.9,-0.235294,-1.0,n=10 A=6 B=1 C=3 D=0,B: sum(n)=50 satisfied; rl solved separately,1,matches TRIAL2+TRIAL3 exactly
32,IntactPair,5,5,0,0,0,1.0,1.0,0.833333,,n=4 A=4 B=0 C=0 D=0,B: sum(n)=50 satisfied; rl solved separately,1,differs from TRIAL2+TRIAL3: n 4 vs 5
32,ItemPair,15,9,3,2,1,0.8,0.7333333333333333,0.23913,0.2,n=15 A=9 B=3 C=2 D=1,B: sum(n)=50 satisfied; rl solved separately,1,matches TRIAL2+TRIAL3 exactly
32,PairItem,12,11,0,1,0,0.9166666666666666,1.0,0.769231,,n=12 A=11 B=0 C=1 D=0,B: sum(n)=50 satisfied; rl solved separately,1,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
32,RepeatedLure,2,0,0,1,1,0.0,0.5,0.0,,n=3 A=0 B=0 C=1 D=2,B: sum(n)=50 satisfied; rl solved separately,1,differs from TRIAL2+TRIAL3: n 3 vs 2; rl_n=2 != (12-si_n)+(6-int_n)=5
33,SameItem,9,9,0,0,0,1.0,1.0,0.9,,n=10 A=9 B=0 C=0 D=1,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 10 vs 9
33,DifferentItem,11,11,0,0,0,1.0,1.0,0.916667,,n=11 A=11 B=0 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
33,IntactPair,7,5,0,2,0,0.7142857142857143,1.0,0.375,,n=6 A=5 B=0 C=1 D=0,"C: per-condition solve, design constraints not satisfiable",0,n=7 exceeds pooled design slot 6; differs from TRIAL2+TRIAL3: n 6 vs 7
33,ItemPair,15,15,0,0,0,1.0,1.0,0.9375,,n=15 A=15 B=0 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
33,PairItem,8,8,0,0,0,1.0,1.0,0.888889,,n=8 A=8 B=0 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
33,RepeatedLure,3,0,0,1,2,0.0,0.3333333333333333,0.25,,n=1 A=0 B=0 C=0 D=1,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 1 vs 3; rl_n=3 != (12-si_n)+(6-int_n)=2
34,SameItem,11,8,0,1,2,0.7272727272727273,0.8181818181818182,0.931818,1.0,n=11 A=8 B=0 C=1 D=2,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
34,DifferentItem,11,10,1,0,0,1.0,0.9090909090909091,0.75,,n=12 A=11 B=1 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,differs from TRIAL2+TRIAL3: n 12 vs 11
34,IntactPair,7,6,0,1,0,0.8571428571428571,1.0,0.625,,n=6 A=6 B=0 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,n=7 exceeds pooled design slot 6; differs from TRIAL2+TRIAL3: n 6 vs 7
34,ItemPair,11,8,0,2,1,0.7272727272727273,0.9090909090909091,0.821429,1.0,n=11 A=8 B=0 C=2 D=1,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly
34,PairItem,10,8,2,0,0,1.0,0.8,0.545455,,n=10 A=8 B=2 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
34,RepeatedLure,0,0,0,0,0,,,0.0,,n=0 A=0 B=0 C=0 D=0,"C: per-condition solve, design constraints not satisfiable",0,n=0: no items in this condition; matches TRIAL2+TRIAL3 exactly
35,SameItem,9,7,0,1,1,0.7777777777777778,0.8888888888888888,0.875,1.0,n=10 A=6 B=0 C=3 D=1,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 10 vs 9
35,DifferentItem,10,10,0,0,0,1.0,1.0,0.909091,,n=10 A=10 B=0 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
35,IntactPair,5,5,0,0,0,1.0,1.0,0.833333,,n=4 A=4 B=0 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 4 vs 5
35,ItemPair,15,14,0,1,0,0.9333333333333333,1.0,0.8125,,n=15 A=14 B=0 C=1 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
35,PairItem,11,11,0,0,0,1.0,1.0,0.916667,,n=11 A=11 B=0 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
35,RepeatedLure,4,0,0,0,4,0.0,0.0,0.8,,n=3 A=0 B=0 C=0 D=3,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 3 vs 4
36,SameItem,11,8,0,1,2,0.7272727272727273,0.8181818181818182,0.931818,1.0,n=11 A=9 B=0 C=1 D=1,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3 in cell counts (n agrees)
36,DifferentItem,11,6,3,2,0,0.8181818181818182,0.7272727272727273,-0.458333,-1.0,n=12 A=7 B=3 C=2 D=0,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 12 vs 11
36,IntactPair,5,5,0,0,0,1.0,1.0,0.833333,,n=4 A=4 B=0 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 4 vs 5
36,ItemPair,13,12,0,1,0,0.9230769230769231,1.0,0.785714,,n=13 A=12 B=0 C=1 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
36,PairItem,10,7,2,1,0,0.9,0.8,0.0,-1.0,n=10 A=7 B=2 C=1 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
36,RepeatedLure,2,0,0,0,2,0.0,0.0,0.666667,,n=2 A=0 B=0 C=0 D=2,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
37,SameItem,10,7,0,2,1,0.7,0.9,0.8,1.0,n=11 A=7 B=0 C=1 D=3,B: sum(n)=50 satisfied; rl solved separately,1,differs from TRIAL2+TRIAL3: n 11 vs 10
37,DifferentItem,9,7,1,1,0,0.8888888888888888,0.8888888888888888,0.25,-1.0,n=9 A=7 B=1 C=1 D=0,B: sum(n)=50 satisfied; rl solved separately,1,matches TRIAL2+TRIAL3 exactly
